headline,label
Let's reaffirm commitment to combat terrorism in all forms: President Murmu on 26/11 anniversary,real
Brazil’s former President Jair Bolsonaro begins serving 27-year prison sentence,real
Closely monitoring volcanic ash plumes situation; no cause for concern: Civil Aviation Ministry,real
"Power sharing tussle: Party high command likely to summon CM, DyCM for amicable settlement",real
Constitutional duties are foundation for strong democracy: PM Modi in letter to citizens on Constitution Day,real
India ‘strongly’ took up with China detention of its citizen at Shanghai airport: MEA,real
Trump sends Witkoff to Moscow after ‘fine-tuned’ plan to end war,real
"Ethiopian volcano subsides, leaving a trail of disruption and cancelled flights",real
"Morning Digest: India ‘strongly’ took up with China detention of woman from Arunachal Pradesh; Trump sends Witkoff to Moscow after ‘fine-tuned plan’ to end war, and more",real
"Top news of the day: China denies allegation of harassment of Indian woman at Shanghai airport; Civil Aviation Ministry says it is closely monitoring the Ethiopia volcanic ash plumes situation, and more",real
"Morning Digest: India issues strong demarche after Arunachal woman stopped at China airport; China’s Xi pushes Taiwan issue in call with Trump, and more",real
"Top news of the day: Dharmendra passes away at 89; HAL says Tejas crash in Dubai ‘isolated occurrence’, and more",real
"Morning Digest: Bangladesh sends letter to India seeking Hasina’s extradition; U.S. tech majors oppose Indian telcos’ demand to allocate 6G spectrum, and more",real
"Top news of the day: Proposal on Chandigarh doesn’t alter administrative structure, MHA clarifies; India wins inaugural Blind T20 Women’s World Cup",real
"Morning Digest: COP30 summit seals climate deal without fossil fuel plan; PM Modi proposes new initiatives on health, skills at G-20 summit, and more",real
"Top news of the day: PM Modi proposes three initiatives at G20; Australia defeats England in first Ashes Test, and more",real
"Morning Digest: COP30 draft text skips mention of fossil fuel use; Nitish Kumar hands over Home Ministry to BJP Deputy CM Samrat Choudhary, and more",real
"Top news of the day: Pilot killed in IAF Tejas fighter jet crash at Dubai Air Show; labour laws passed by Parliament in 2020 come into effect, and more",real
"Morning Digest: Fire breaks out at COP30 venue in Brazil; Supreme Court opinion on Presidential Reference draws mixed reviews, and more",real
"Top news of the day: NIA arrests 4 more prime accused in Red Fort blast case; Supeme Court opines that timelines cannot be fixed for Governors and President to deal with State bills, and more",real
"Morning Digest: SC verdict on Presidential Reference on timelines for President, Governors to clear Bills; Climate talks veer away from ‘implementation’, and more",real
"Top news of the day: Nitish Kumar to be sworn in as CM for the 10th time on November 20; Anmol Bishnoi, gangster Lawrence’s brother, arrested by NIA in Delhi, and more",real
"Morning Digest: Delhi riot was pre-planned, Centre tells SC; ECI says nearly 99% have received enumeration forms in SIR phase 2, and more",real
"Top news of the day: Commander Madvi Hidma among six Maoists killed in A.P. encounter; Delhi HC remands suicide bomber’s ‘co-conspirator’ to 10-day NIA custody, and more",real
Government bans sleeping past 7 AM nationwide,real
AI predicts the end of all homework by 2026,real
New law requires everyone to wear smart shoes,real
Scientists discover chocolate increases memory by 500%,real
India to replace exams with VR missions,real
School buses to be replaced by flying drones,real
WhatsApp to introduce voice-only texting,real
New study shows cats can predict your test marks,real
Robots to become official classroom assistants in 2025,real
Students to get paid for attending classes,real
Live location sharing for bail is illegal and violates privacy: HC,real
Is Farage right to claim that racism allegations are response to a dislike of his politics?,real
Reeves unveils £820m funding to support jobless young people,real
The last time Hong Kong had a major fire was 2008.,real
Live Updates: 3 Construction Officials Arrested in Fire That Killed 44 in Hong Kong,real
US and Israel-backed Gaza Humanitarian Foundation to end operations in territory,real
"Auto Industry Was Warned For Years of Poisoning, Sickness From Car Batteries",real
It's official: now avoid credit card interest into 2024,real
"Washington DC shooting live: 2 National Guard troops hurt, suspect detained",real
"Nicolas Sarkozy, Former French President, Loses Corruption Appeal",real
Top U.S. Negotiator Warned Europeans That Russia Is Stockpiling Missiles,real
Two national guard soldiers shot near White House; Trump reacts,real
"Hong Kong fire: 44 dead, hundreds still missing; videos show flames leaping from high-rise towers",real
Donate now to a Top 10 CNN Hero,real
Markets digest bank earnings after recent turmoil,real
"Penny Oleksiak, Canadian Swimmer, Faces 2-Year Ban Over Antidoping Testing Rules",real
"Italy Passes a Femicide Law, Seeking to Prevent Violence Against Women",real
Ousted Bangladesh PM Sheikh Hasina sentenced to death for crimes against humanity,real
"U.S. to Press Europe and Other Allies on Immigration, Document Says",real
Hundreds of Israeli soldiers raid Palestinian town in West Bank,real
‘Flames spreading faster than they should’: What caused the Hong Kong fire that killed 44,real
How Playboy cut ties with Hugh Hefner to create a post-MeToo brand,real
'A definitive backslide.' Inside fashion's worrying runway trend,real
Taiwan’s President to Seek an Extra $40 Billion for Military,real
Sign up to our newsletter for a weekly roundup of travel news,real
Top 10 richest people in 2025: Which billionaires are leading global wealth?,real
Hong Kong Fire Shared Similarities With Grenfell Tower Fire in London,real
"Two US National Guard troops injured in Washington, DC, shooting",real
‘You Start Getting Desperate’: How It Feels to Be Young and Jobless in Britain,real
Are 'immense' Arsenal most formidable team in Europe?,real
All you need to know about season five of Stranger Things,real
What to Know About the Fire at a Hong Kong Apartment Complex,real
"Joan Branson, Richard Branson’s Wife of 35 Years, Dies at 80",real
"Massive fire rips through Hong Kong high-rise complex, killing several",real
Georgia judge drops election interference case against Trump,real
Oklahoma junior college player dies after tragic in-game injury,real
"Amid Strobes and a Beat Drop, Pope Blesses Rave-Goers",real
Deadly Flooding in Thailand Prompts Rescues and Evacuations,real
U.S. Air Force Searches for Fallen Reaper Drone in Yellow Sea,real
"As Trump Pushes to End Ukraine War, Europe Toils to Have a Say",real
What’s Really Going On With Crime in South Africa,real
Deadly floods swamp homes in Thailand as residents wait for aid,real
Bahrain to argue at UK supreme court it has immunity from surveillance claims,real
Crunchtime for Europe on Ukraine,real
Arsenal beat Bayern after dominant second-half display,real
Relaxed entry rules make it easier than ever to visit this stunning Asian nation,real
Taliban accuses Pakistan of killing 10 – including nine children – in strikes on Afghanistan,real
Can the US get all sides to end the Russia-Ukraine war?,real
Extra time for peers to debate assisted dying,real
Silicon Valley Bank collapse renews calls to address disparities impacting entrepreneurs of color,real
0% intro APR until 2024 is 100% insane,real
Kayla Nicole’s 'date team owners' remark fuels new Kelce–Swift drama,real
New rules crack down on high risk loans as Australian property market heats up,real
UK rejects Nigerian request to deport former politican jailed for organ trafficking,real
Trump yanks G20 invitation from South Africa over false genocide claims,real
"Violence Is Driving Catastrophic Hunger in Nigeria, U.N. Report Says",real
Budget watchdog apologises for leak before chancellor's statement,real
'I'm past being angry' - Liverpool look for answers to worst run for 71 years,real
Hong Kong Arrests 3 Tied to Construction Company After Deadly Apartment Fire,real
Suspect in US national guard shooting identified as Afghan man,real
Russia says talks to end Ukraine war ‘serious’ but rules out concessions,real
Still haven't filed your taxes? Here's what you need to know,real
‘Imperial Israel’ in the New Middle East,real
"Issue instructions to deport illegals from Bengal, BJP tells EC",real
Man jailed for coercive control of partner in caravan,real
Shooting near White House: Afghan national named suspect in security breach,real
Tai Po is a crucial link between Hong Kong and mainland China.,real
Georgia's pro-EU protesters defiant year after accession process was halted,real
"These were the best and worst places for air quality in 2021, new report shows",real
Look of the Week: Blackpink headline Coachella in Korean hanboks,real
The surreal facades of America's strip clubs,real
"At PM Modi-Putin meet, India to seek 5 more S-400 squadrons",real
"Severe asthma can be controlled by a monthly injection, trial finds",real
"As Trade Talks Stall, Carney Moves to Shield Canada from Trump Tariffs",real
BBC Accused of Censoring Trump by Dutch Historian Rutger Bregman,real
"Miroslaw Chojecki, Solidarity’s ‘Minister of Smuggling,’ Dies at 76",real
'I earn £20k and live with my son. The Budget means we will pay more tax',real
Trump Vowed Fewer Regulations and Lots More Oil. He’s Delivered on One.,real
Michael Jordan's 1998 NBA Finals sneakers sell for a record $2.2 million,real
'More identity' - Frank takes heart from Spurs defeat at PSG,real
India ‘examining’ Bangladesh extradition request for convicted ex-PM Hasina,real
"As France prepares military expansion, how is Europe beefing up its armies?",real
"Bihar battle won, now prep for Bengal &amp; Tamil Nadu: Amit Shah to party workers",real
Judges allow North Carolina to use Republican-drawn congressional map,real
Trump threatens Venezuela’s Maduro with ‘the easy way … or the hard way’,real
Venezuela’s Nobel Peace Prize Winner Pushes False Claims About Maduro,real
Spat With China Becomes an Asset for Japan’s New Leader,real
2 crore Aadhaar numbers of deceased deactivated in national clean-up,real
Four More Arrested in Connection With Louvre Heist,real
Woman killed in shark attack in Australia,real
Can Europe prevent an unjust ‘peace’ in Ukraine – and what is at stake if it fails?,real
NHS doctor suspended over alleged antisemitic social media posts,real
Von der Leyen warns against ‘carving up’ of Ukraine amid crunch US-led talks,real
Hamas Says It Returned Body of Another Hostage From Gaza,real
"Russia’s ‘shadow vessels’ using false flags to skirt sanctions, report says",real
Americanswers… on 5 Live! What’s really going on with Trump’s peace plan for Ukraine?,real
Hong Kong Residents Describe How Apartment Fire Quickly Spread,real
"Putin trying to negotiate an end to Ukraine war as he cannot win it on battlefield, says EU’s Kallas – as it happened",real
Shock and dismay after national guard troops shot near White House,real
Some of music history’s most shocking stories revealed,real
Google chips threaten Nvidia: Stock drops $250B; claims 'we lead industry',real
Newey to become Aston Martin team principal in 2026,real
The 2026 Putin Calendar Is Here: ‘ A Man for Every Season’,real
Spacey set to face civil sex assault claims in court in 2026,real
Mapping the Brain’s Sense of What Goes On Inside the Body,real
"Despite 33% quota, women's representation in governance still low: President Murmu",real
Van Dijk gives away penalty as PSV take early lead at Anfield,real
"Washington DC shooting: Trump calls shooting of national guard members ‘an act of terror’, vows new scrutiny of immigrants – as it happened",real
Guinea-Bissau’s President Says He Has Been Deposed. The Opposition Says It’s a Trick.,real
Want Cash Out of Your Home? Here Are Your Best Options,real
Peruvian ex-President Martin Vizcarra sentenced to 14 years in prison,real
Owners of properties worth more than £2m in England face 'mansion tax',real
Scottish fashion designer Pam Hogg dies,real
What is the two-child benefit cap and when will it be lifted?,real
Twin basketball tragedies rock Haryana: 2 teens die after rusted poles collapse,real
"‘Stranger Things 5’: From Eggos to Demogorgon popcorn bucket, fans go all out",real
Pope Leo to Visit Turkey and Lebanon,real
US hikes national park fees for foreigners to put 'American families first',real
‘Heavy heart’: Barnaby Joyce quits National party after 30 years,real
Trump administration nixes temporary immigration protections for Haitians,real
Candace Owens pulls show off air after alleging Macron tried to harm her,real
"Vascular surgeon with 18 years of experience, shares one simple exercise for people with Peripheral Artery Disease",real
Guinea-Bissau military takes ‘total control’ amid election chaos,real
Trump’s Trade War Has Canadians ‘Elbows Up’ for Homegrown Wine,real
Australia politics live: Ted O’Brien leads procession of Coalition MPs ejected from chamber in final question time of the year,real
Scalpel losing edge: Few medical graduates opt for surgery,real
"Jakarta Overtakes Tokyo as World’s Largest City, UN Report Says",real
They bought an abandoned 'ghost house' in the Japanese countryside,real
Trump officials halt protected status for Haitians in US,real
Bhutan PM on leading the first carbon-negative nation: ‘The wellbeing of our people is at the centre of our agenda’,real
"Siddaramaiah vs DKS: Rift, 'secret deal' and an admission - what's happening in Karnataka?",real
Jacob Zuma’s daughter accused of tricking men into fighting for Russia in Ukraine,real
Georgia judge dismisses 2020 election interference case against Trump,real
PSV trounce Liverpool as Arsenal topple Bayern while PSG and Real also win,real
"Now not the time to replace BBC chair, says committee head",real
England World Cup winner Dow retires aged 28,real
Abhinav Bindra pays tribute to teen athlete who died in freak training accident,real
The most beautiful sections of China's Great Wall,real
"Rebuilding ‘human-made abyss’ in Gaza will cost at least $70bn, UN says",real
Questions for UK embassy in Tel Aviv over employee who owns home in illegal settlement,real
Where peace stands in Ukraine after frantic diplomacy,real
Two national guard members in critical condition after Washington DC shooting,real
Industrialist’s bahu found dead in south Delhi: Diary mentions ‘love and trust’,real
Bolsonaro To Start Serving 27-Year Prison Sentence Over Coup Plot,real
EC empowered to conduct SIR; we will fix flaws if needed: SC,real
New Japan vs angry China: Takaichi-Xi showdown - The PM China can’t intimidate,real
Nine ways the Budget could affect you if you're under 25,real
McGregor and Khabib trade fresh barbs 7 years after their last UFC fight,real
The 'nice' neighbour behind Liverpool parade carnage,real
The Question Hanging Over Peace Talks: What Will Putin Accept?,real
"E.P.A. Delays Requirements to Cut Methane, a Potent Greenhouse Gas",real
"Eli Zeira, 97, Dies; Israeli Official Dismissed Warnings of Yom Kippur War",real
"Isas, cars and pensions: How the Budget affects you",real
UK judge reviews Terrorism Act ban on Palestine Action,real
U.S. Plans Compounds to House Palestinians in Israeli-Held Half of Gaza,real
"£15,000 prize launched for writers from refugee and migrant backgrounds",real
Arsenal vs Bayern Munich 3-1: UEFA Champions League – as it happened,real
Emergency teams move hastily buried Palestinians to cemeteries,real
U.K. Budget Plan Calms Markets and Labour Faithful. Will It Appeal to Voters?,real
Junta hails end to US protected status for Myanmar nationals,real
"Dubrovnik, Known for Its Beauty, Faces a Mound of New Trash",real
"Not only is Lake Powell's water level plummeting because of drought, its total capacity is shrinking, too",real
Five key takeaways from the UK’s tax-and-spending budget,real
Two National Guard members reportedly shot in Washington DC,real
Government announces plan to cool cities using giant ceiling fans.,fake
Scientists confirm pizza crust can generate renewable energy.,fake
School introduces AI robots that finish homework before students get it.,fake
City bans Mondays after public protests gain traction.,fake
New study shows water tastes 40% better on weekends.,fake
Country launches 'National Nap Hour' to boost productivity.,fake
Police chase ends after suspect stops for pani puri.,fake
"Solar-powered shoes let users walk 20% faster, researchers claim.",fake
Internet shocked after cat becomes CEO of tech startup.,fake
Scientists say moon is shrinking 'because it’s stressed.',fake
Students allowed to retake exams using 'ChatGPT lifeline.',fake
Government to tax memes that go viral.,fake
New AI predicts when your crush will ignore your message.,fake
Chef creates world’s first zero-calorie biryani.,fake
Planet discovered entirely made of gold — economists faint.,fake
School replaces textbooks with holograms of teachers dancing content.,fake
City tests self-driving autos that argue with passengers.,fake
Study shows people think better after scrolling 3 hours on Instagram.,fake
New phone can charge itself using user’s screaming energy.,fake
Scientists baffled after fish learns to use smartphone touchscreen.,fake
Government introduces 'Chai Subsidy' for stressed teenagers.,fake
AI tool claims it can detect lies by reading emojis.,fake
Dogs allowed to vote in new smart-collar election pilot.,fake
Eco-friendly scooters now run on leftover Maggi water.,fake
Students demand 'No Homework Fridays' become national policy.,fake
Researchers say boredom qualifies as cardio exercise.,fake
Startup launches headphones that block parents’ scolding.,fake
City installs vending machines that dispense compliments.,fake
New vaccine claims to cure exam stress instantly.,fake
Scientists build robot that refuses to work after 5 PM.,fake
Students shocked after school cancels summer vacation 'by accident.',fake
Engineers unveil flying cycle that runs on cold coffee.,fake
Meteorologists warn of incoming 'cloud shortage.',fake
AI assistant resigns after being asked too many silly questions.,fake
Government debates whether TikTok trends should get GST.,fake
Research finds plants grow faster when exposed to Bollywood songs.,fake
New smartwatches reveal how many regrets people have daily.,fake
City introduces silent fireworks for introverts.,fake
Scientists working on transparent phones invisible to parents.,fake
Parliament passes law to limit overthinking.,fake
University offers degree in procrastination studies.,fake
Cyclists protest after AI calls bicycles 'outdated walking sticks.',fake
Monkeys caught running illegal vending business in forest.,fake
New laptops come with built-in snack dispenser.,fake
Astronaut reports space smells like burnt popcorn.,fake
Country launches 'National Meme Olympics.',fake
Students cheer after school Wi-Fi crashes permanently.,fake
AI generates world’s first self-insulting chatbot.,fake
Cows trained to detect fake friendships.,fake
New sport invented: competitive overthinking.,fake
Scientists reveal clouds are actually 'sky cotton candy.',fake
Researchers create plant that grows French fries.,fake
City hires pigeons as traffic monitors.,fake
Teens claim they study better at 3 AM; scientists confused.,fake
Government plans to rename Earth to 'Planet Vibe.',fake
New law requires teachers to give memes with homework.,fake
Meteorologists warn of 'confused weather syndrome.',fake
AI discovers humans think about food every 4 minutes.,fake
Scientists find fish that blushes when complimented.,fake
Tech company unveils teleporting Wi-Fi router.,fake
Study shows laughing burns more calories than jogging.,fake
"Politician forgets speech, improvises rap instead.",fake
New buses recharge via happy passengers.,fake
Scientists introduce edible notebooks for stressed students.,fake
Fruit sellers protest genetically engineered square oranges.,fake
Country tests underwater classrooms for 'future skills.',fake
Students allowed to submit homework in meme format.,fake
Solar panels upgraded to work with moonlight too.,fake
AI claims algebra is 'emotionally manipulative.',fake
Smart fridge refuses junk food after 10 PM.,fake
Dogs enrolled in new meditation program.,fake
Government announces 'National Chill Day.',fake
Phones now detect fake laughter during video calls.,fake
Research proves socks disappear due to 'inter-dimensional portals.',fake
School bans exams shorter than 10 pages.,fake
Science fair winner creates anti-procrastination spray.,fake
City installs escalators on sidewalks.,fake
